 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 1732054, 00:28:52
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 1682875, 00:28:02
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 28464, 00:00:28
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 18847, 00:00:18
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 52006, 00:00:52
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 41972, 00:00:41
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 75449, 00:01:15
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 113889, 00:01:53
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 40042, 00:00:40
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.10001_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 22505, 00:00:22
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 491045, 00:08:11
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 387772, 00:06:27
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 330667, 00:05:30
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 349087, 00:05:49
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 17053, 00:00:17
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 25505, 00:00:25
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 101083, 00:01:41
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 12647, 00:00:12
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 13539, 00:00:13
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 35596, 00:00:35
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 21297, 00:00:21
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.07501_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 22013, 00:00:22
